model;size;cluster_prob;pattern_id;cost;time_s;loose_ends;skeins_used;cuts;floats
dp;25x25;0.95;8;310.49;0.01485;8;4;0;86
dp;25x25;0.95;9;194.959;0.01183;6;2;1;47
dp;25x25;0.95;10;262.91;0.01388;8;4;0;70
dp;25x25;0.95;11;216.065;0.02035;8;4;0;49
dp;25x25;0.95;12;200.104;0.01549;8;4;0;58
dp;25x25;0.95;13;242.513;0.01571;8;4;0;60
dp;25x25;0.95;14;228.872;0.0155;8;4;0;58
dp;25x25;0.95;15;220.028;0.01275;8;4;0;51
dp;25x25;0.95;16;242.244;0.01418;8;4;0;64
dp;25x25;0.95;17;296.063;0.02;8;4;0;84
dp;25x25;0.95;18;207.637;0.02562;8;4;0;54
dp;25x25;0.95;19;210.708;0.01881;8;4;0;57
dp;25x25;0.95;20;298.86;0.02652;8;4;0;79
dp;50x50;0.95;1;1052.372;0.08207;16;4;4;266
dp;50x50;0.95;2;1238.171;0.10901;12;4;2;313
dp;50x50;0.95;3;1463.3;0.10633;12;4;2;365
dp;50x50;0.95;4;699.572;0.05407;10;4;1;200
dp;50x50;0.95;5;1389.809;0.12956;16;4;4;344
dp;50x50;0.95;6;1209.95;0.09192;18;4;5;311
dp;50x50;0.95;7;1277.45;0.09198;12;4;2;324
dp;50x50;0.95;8;1365.145;0.11312;14;4;3;350
dp;50x50;0.95;9;1351.221;0.08108;12;4;2;306
dp;50x50;0.95;10;1287.77;0.10914;14;4;3;335
dp;50x50;0.95;11;1341.931;0.11671;10;4;1;335
dp;50x50;0.95;12;1310.71;0.07586;22;4;7;288
dp;50x50;0.95;13;1470.946;0.10276;16;4;4;354
dp;50x50;0.95;14;970.513;0.05572;18;4;5;244
dp;50x50;0.95;15;1110.619;0.08258;16;4;4;281
dp;50x50;0.95;16;1333.748;0.11223;10;4;1;346
dp;50x50;0.95;17;1199.123;0.07541;14;4;3;275
dp;50x50;0.95;18;1081.849;0.07229;12;4;2;274
dp;50x50;0.95;19;1343.715;0.12276;18;4;5;341
dp;50x50;0.95;20;770.953;0.04725;12;4;2;207
dp;100x100;0.95;1;7226.91;1.46436;82;4;37;1282
dp;100x100;0.95;2;6504.477;1.19446;50;4;21;1184
dp;100x100;0.95;3;7000.946;1.46692;76;4;34;1271
dp;100x100;0.95;4;7056.431;1.56814;42;4;17;1334
dp;100x100;0.95;5;7290.494;1.46261;62;4;27;1312
dp;100x100;0.95;6;7057.217;1.59636;66;4;29;1267
dp;100x100;0.95;7;7158.88;1.52951;72;4;32;1306
dp;100x100;0.95;8;7025.215;1.584;56;4;24;1319
dp;100x100;0.95;9;6562.736;1.30731;72;4;32;1210
dp;100x100;0.95;10;6686.128;1.4509;52;4;22;1257
dp;100x100;0.95;11;6811.154;1.37099;68;4;30;1270
dp;100x100;0.95;12;7531.042;1.7735;44;4;18;1394
dp;100x100;0.95;13;7007.123;1.53692;70;4;31;1285
dp;100x100;0.95;14;7394.771;1.6462;50;4;21;1379
dp;100x100;0.95;15;7830.619;1.80034;64;4;28;1414
dp;100x100;0.95;16;7509.325;1.6014;40;4;16;1402
dp;100x100;0.95;17;7253.207;1.56027;60;4;26;1363
dp;100x100;0.95;18;7313.17;1.53912;60;4;26;1330
